ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011401770,2024-02-05,r1,245291457.0,100.62,5.35,1648,100.59,100.27,246739.0,2025-04-01,COPPERLINE B2,100.48,1140177,Bonds,CPLN.B2,91.0,515.85,512999.0,True,,
US1255255846,2024-02-05,r1,22737853.0,1302.0,,1701,1319.0,1302.0,299912.0,,CREATIVE MEDIA,1322.0,1142306,Shares,CMCT,1.0,0.27,21.0,True,,
IL0011849515,2024-02-05,r1,1045332758.0,106.56,1.8,1840,105.76,105.68,1105544.0,2031-09-30,DALIA B1,105.96,1184951,Bonds,DLIA.B1,146.0,1854.7,1751919.0,True,,
IL0011935983,2024-02-05,r1,1285000000.0,101.8,3.3,1840,101.34,101.25,1302219.0,2034-10-01,DALIA B2,101.68,1193598,Bonds,DLIA.B2,183.0,3926.43,3870233.0,True,,
IL0008220159,2024-02-05,r1,115599112.0,0.0,,822,2190.0,0.0,2531621.0,,DAN   HOTELS,2190.0,822015,Shares,DANH,0.0,0.0,0.0,True,,
IL0003140139,2024-02-05,r1,5842326.0,32500.0,,314,32020.0,31650.0,1870713.0,,DANEL,32200.0,314013,Shares,DANE,290.0,1421.63,4412.0,True,,
IL0011731374,2024-02-05,r1,31291559.0,9148.0,,1096,8845.0,8839.0,2767738.0,,DANYA CEBUS,8860.0,1173137,Shares,DNYA,377.0,1723.66,19380.0,True,,
IL0008290103,2024-02-05,r1,96975959.0,2132.0,,829,2113.0,2070.0,2049102.0,,DELEK AUTOMOTIV,2070.0,829010,Shares,DLEA,404.0,1920.09,91413.0,True,,
IL0010841281,2024-02-05,r1,18507711.0,45240.0,,1095,44230.0,44200.0,8185961.0,,DELEK GROUP,45150.0,1084128,Shares,DLEKG,2247.0,16257.81,36381.0,True,,
IL0011809832,2024-02-05,r1,81284.0,16900.0,,1095,16710.0,16570.0,13583.0,,DELEK GROUP W14,16970.0,1180983, Warrant,DLKG.W14,10.0,32.41,194.0,True,,
