ISIN,TimePeriod,LastRate
IL0075902192,2024-02-04,102.08
IL0075901285,2024-02-04,141.79
IL0075901517,2024-02-04,86.49
IL0075902846,2024-02-04,94.17
IL0011181166,2024-02-04,52.0
IL0011996860,2024-02-04,109.6
IL0011727091,2024-02-04,1.1
IL0011696890,2024-02-04,111.9
IL0011775264,2024-02-04,97.4
IL0011845554,2024-02-04,92.35
IL0011569261,2024-02-04,64.5
IL0011729238,2024-02-04,121.34
IL0011830788,2024-02-04,105.2
IL0012026477,2024-02-04,103.42
IL0044801905,2024-02-04,40.91
IL0004480195,2024-02-04,76.3
IL0012008806,2024-02-04,101.1
IL0011898777,2024-02-04,102.3
IL0010825102,2024-02-04,2270.0
IL0011778235,2024-02-04,95.0
IL0010805971,2024-02-04,41.7
IL0010958929,2024-02-04,953.9
IL0011398497,2024-02-04,112.78
IL0011426298,2024-02-04,103.87
IL0011831513,2024-02-04,84.87
IL0005060228,2024-02-04,31.1
IL0050604391,2024-02-04,28.3
IL0012018706,2024-02-04,2.6
IL0007440113,2024-02-04,41.0
IL0074403085,2024-02-04,22.7
IL0011762882,2024-02-04,2598.0
IL0010819832,2024-02-04,29.5
IL0011369696,2024-02-04,94.62
IL0011792905,2024-02-04,95.48
IL0011413163,2024-02-04,50.5
IL0011198335,2024-02-04,5.7
IL0011474876,2024-02-04,41150.0
IL0010919335,2024-02-04,858.3
IL0001490130,2024-02-04,12270.0
IL0002350101,2024-02-04,2122.0
IL0023500809,2024-02-04,98.86
IL0023501302,2024-02-04,96.13
IL0010961485,2024-02-04,281.9
IL0011767261,2024-02-04,552.1
IL0011843658,2024-02-04,1170.0
IL0011801813,2024-02-04,27.3
IL0011801995,2024-02-04,1.0
IL0012009226,2024-02-04,101.55
IL0002710155,2024-02-04,749.5
IL0010954050,2024-02-04,55.5
IL0008230133,2024-02-04,1335.0
IL0082303285,2024-02-04,91.25
IL0082303772,2024-02-04,101.23
IL0011900409,2024-02-04,99.98
IL0082302949,2024-02-04,97.2
IL0011436354,2024-02-04,539.8
IL0011826828,2024-02-04,90.98
IL0011901316,2024-02-04,93.97
IL0011047854,2024-02-04,356.3
IL0011049595,2024-02-04,98.3
IL0003840167,2024-02-04,1204.0
IL0011025322,2024-02-04,401.4
IL0011605065,2024-02-04,101.4
IL0011760233,2024-02-04,94.8
IL0011815029,2024-02-04,31.78
IL0011815102,2024-02-04,31.81
IL0011898512,2024-02-04,91.6
IL0005850180,2024-02-04,3120.0
IL0011596231,2024-02-04,107.8
IL0011625022,2024-02-04,95.28
IL0011913865,2024-02-04,105.61
IL0058501102,2024-02-04,85.04
IL0011340309,2024-02-04,113.75
IL0011340481,2024-02-04,113.82
IL0011363160,2024-02-04,100.57
IL0011381634,2024-02-04,97.41
IL0011381717,2024-02-04,96.52
IL0011431223,2024-02-04,88.67
IL0011431306,2024-02-04,86.14
IL0011576019,2024-02-04,97.27
IL0011614547,2024-02-04,90.9
IL0011826661,2024-02-04,81.13
IL0011927725,2024-02-04,97.98
IL0011260770,2024-02-04,116.35
IL0011426033,2024-02-04,29.75
IL0011847535,2024-02-04,87.88
IL0011699456,2024-02-04,100.4
IL0010846983,2024-02-04,19680.0
IL0011718751,2024-02-04,96.71
IL0011849853,2024-02-04,1495.0
IL0001500110,2024-02-04,188470.0
IL0011777658,2024-02-04,125.1
IL0011777815,2024-02-04,1.1
IL0003510158,2024-02-04,3561.0
IL0011425878,2024-02-04,486.6
IL0011722043,2024-02-04,401.5
IL0011700007,2024-02-04,91.6
IL0011733438,2024-02-04,174.8
IL0001750186,2024-02-04,11030.0
IL0010844822,2024-02-04,618.0
IL0002810146,2024-02-04,1661.0
IL0028102999,2024-02-04,100.56
IL0028103724,2024-02-04,79.78
IL0011824849,2024-02-04,506.6
IL0011774507,2024-02-04,336.0
IL0011774762,2024-02-04,95.4
IL0011295016,2024-02-04,10950.0
IL0011558785,2024-02-04,98.0
IL0011830374,2024-02-04,86.27
IL0011763468,2024-02-04,596.8
IL0004310152,2024-02-04,22820.0
IL0003410169,2024-02-04,29.3
IL0011359127,2024-02-04,111.81
IL0011695645,2024-02-04,109.09
IL0011570236,2024-02-04,107.2
IL0011348658,2024-02-04,95.16
IL0011722209,2024-02-04,99.5
IL0011683013,2024-02-04,76.37
IL0011408478,2024-02-04,112.05
IL0011973265,2024-02-04,100.2
IL0011205833,2024-02-04,137.81
IL0010977085,2024-02-04,170.9
IL0011560252,2024-02-04,97.65
IL0011510265,2024-02-04,98.05
IL0011214744,2024-02-04,525.0
IL0010807530,2024-02-04,6107.0
IL0011665523,2024-02-04,96.34
IL0011417958,2024-02-04,99.51
IL0011757775,2024-02-04,97.72
IL0011626681,2024-02-04,96.43
IL0011609851,2024-02-04,84.7
IL0011806606,2024-02-04,81.17
IL0011393449,2024-02-04,96.6
IL0011508798,2024-02-04,94.01
IL0011840761,2024-02-04,69.3
IL0011401937,2024-02-04,89.54
IL0012023326,2024-02-04,96.95
IL0011746976,2024-02-04,94.1
IL0011661803,2024-02-04,71.2
IL0011355570,2024-02-04,97.51
IL0011308488,2024-02-04,103.08
IL0011948028,2024-02-04,102.3
IL0011254005,2024-02-04,110.93
IL0010994569,2024-02-04,107.98
IL0011999757,2024-02-04,97.73
IL0012023243,2024-02-04,96.78
IL0011838138,2024-02-04,1213.0
IL0002820129,2024-02-04,2790.0
IL0011712309,2024-02-04,86.8
IL0010806888,2024-02-04,70.1
IL0011323560,2024-02-04,1061.0
IL0010809288,2024-02-04,310.8
IL0011063760,2024-02-04,458.5
IL0001740112,2024-02-04,5815.0
IL0011602906,2024-02-04,107.84
IL0011670481,2024-02-04,111.02
IL0011823858,2024-02-04,103.88
IL0011510000,2024-02-04,112.55
IL0011670309,2024-02-04,112.64
IL0011855371,2024-02-04,100.66
IL0011894974,2024-02-04,105.9
IL0010834435,2024-02-04,562.0
IL0011475030,2024-02-04,113.66
IL0012022906,2024-02-04,102.71
IL0011776254,2024-02-04,106.19
IL0011574030,2024-02-04,1298.0
IL0011575367,2024-02-04,99.31
IL0011950156,2024-02-04,1042.53
IL0012010455,2024-02-04,1011.0
IL0043401889,2024-02-04,100.21
IL0043402127,2024-02-04,93.11
IL0004340191,2024-02-04,1232.0
IL0057602448,2024-02-04,95.44
IL0057602513,2024-02-04,99.5
IL0057602695,2024-02-04,108.52
IL0057603016,2024-02-04,93.63
IL0057603271,2024-02-04,91.24
IL0005760173,2024-02-04,84470.0
IL0011199242,2024-02-04,74.4
IL0011455644,2024-02-04,110.58
IL0011455727,2024-02-04,107.93
IL0011455800,2024-02-04,97.88
IL0011750333,2024-02-04,83.6
IL0011685331,2024-02-04,6965.0
IL0011871949,2024-02-04,152.3
IL0023201747,2024-02-04,100.16
IL0023202240,2024-02-04,101.82
IL0023202323,2024-02-04,91.59
IL0002320179,2024-02-04,158.2
IL0006130343,2024-02-04,73420.0
IL0061301995,2024-02-04,102.55
IL0061302076,2024-02-04,111.14
IL0061302233,2024-02-04,111.91
IL0061302803,2024-02-04,101.34
IL0061303488,2024-02-04,98.45
IL0012029778,2024-02-04,31100.0
IL0010809858,2024-02-04,7103.0
IL0010810740,2024-02-04,6800.0
IL0011971285,2024-02-04,98.5
IL0011850570,2024-02-04,1128.0
IL0007260180,2024-02-04,1352.0
IL0011721706,2024-02-04,106.38
IL0011425126,2024-02-04,111.77
IL0011617698,2024-02-04,107.43
IL0011820540,2024-02-04,101.55
IL0012014333,2024-02-04,101.3
IL0011938383,2024-02-04,101.88
IL0011763120,2024-02-04,103.96
IL0011788622,2024-02-04,238.4
IL0011284614,2024-02-04,57.4
IL0005220111,2024-02-04,1490.0
IL0011909582,2024-02-04,99.93
IL0010941198,2024-02-04,2101.0
IL0012102021,2024-02-04,93.89
IL0011130346,2024-02-04,24.23
NL0000113652,2024-02-04,4.4
IL0011509119,2024-02-04,99.58
IL0011623530,2024-02-04,94.2
IL0011727257,2024-02-04,90.66
IL0011184475,2024-02-04,406.5
IL0012101528,2024-02-04,218.6
IL0011055352,2024-02-04,10.96
SG9999012629,2024-02-04,8850.0
IL0006210111,2024-02-04,6583.0
IL0011821878,2024-02-04,93.26
IL0011759342,2024-02-04,526.9
IL0011404097,2024-02-04,101.75
IL0007970358,2024-02-04,18710.0
IL0005430173,2024-02-04,906.9
IL0054301374,2024-02-04,103.01
IL0011731457,2024-02-04,863.2
IL0008260163,2024-02-04,2291.0
IL0001360101,2024-02-04,345.5
IL0013600726,2024-02-04,100.01
IL0011933418,2024-02-04,103.37
IL0006120104,2024-02-04,3115.0
IL0061202243,2024-02-04,109.92
IL0061202409,2024-02-04,110.86
IL0061203233,2024-02-04,110.09
IL0011915191,2024-02-04,102.7
IL0011915274,2024-02-04,102.34
IL0010912488,2024-02-04,120.3
IL0006420173,2024-02-04,5410.0
IL0064200954,2024-02-04,98.12
IL0011409468,2024-02-04,302.9
IL0011676918,2024-02-04,99.26
IL0006046119,2024-02-04,2750.0
IL0060403727,2024-02-04,110.56
IL0060404220,2024-02-04,99.62
IL0060403982,2024-02-04,111.62
IL0060406209,2024-02-04,103.5
IL0060403230,2024-02-04,100.85
IL0060404303,2024-02-04,114.4
IL0060404717,2024-02-04,110.05
IL0060405391,2024-02-04,101.69
IL0060405474,2024-02-04,96.38
IL0060406043,2024-02-04,95.23
IL0012018219,2024-02-04,100.2
IL0012018391,2024-02-04,99.36
IL0011962607,2024-02-04,1033.7
IL0012018474,2024-02-04,1006.44
IL0071902428,2024-02-04,99.33
IL0020002064,2024-02-04,76.82
IL0002000144,2024-02-04,248.8
IL0011999344,2024-02-04,8.6
IL0005730143,2024-02-04,29210.0
IL0011397168,2024-02-04,113.0
IL0011827990,2024-02-04,90.76
IL0011190803,2024-02-04,6558.0
IL0057300985,2024-02-04,98.5
IL0011905861,2024-02-04,99.09
IL0005840116,2024-02-04,1277.0
IL0011769812,2024-02-04,352.3
IL0011338915,2024-02-04,101.19
IL0011607467,2024-02-04,97.13
IL0011900995,2024-02-04,97.93
US53566P1093,2024-02-04,374.0
US5381461012,2024-02-04,998.8
IL0007530129,2024-02-04,2389.0
IL0010814395,2024-02-04,1518.0
